radiologist,inferred_pathology,volume_category,radiomic_category,with_segmentation,correct_prediction,confidence,response_time
Radiologist #9,Postoperative glioma resection,,,False,1,7,17.035570383071899
Radiologist #9,Presurgical glioma,Very Large,Infiltrative Single,False,1,5,25.300062417984009
Radiologist #9,Presurgical glioma,,,False,1,7,22.940499782562256
Radiologist #9,Presurgical glioma,Very Large,Infiltrative Single,False,1,7,23.398521661758423
Radiologist #9,Presurgical glioma,Very Large,Infiltrative Single,False,1,9,11.2564377784729
Radiologist #9,Paediatric presurgical tumour,,,False,0,5,28.533170223236084
Radiologist #9,Presurgical glioma,,,False,1,9,14.259396553039551
Radiologist #9,Postoperative glioma resection,,,False,1,7,15.180952072143556
Radiologist #9,Presurgical glioma,Medium,Multiple,False,0,6,17.582494020462036
Radiologist #9,Presurgical glioma,,,False,1,8,17.20708179473877
Radiologist #9,Presurgical glioma,Very Large,Infiltrative Single,False,1,7,23.83869481086731
Radiologist #9,Presurgical glioma,,,False,1,7,18.662497043609619
Radiologist #9,Postoperative glioma resection,,,False,1,7,50.910287141799927
Radiologist #9,Presurgical glioma,,,False,1,5,38.19931697845459
Radiologist #9,Presurgical glioma,,,False,1,7,10.8078932762146
Radiologist #9,Metastases,Micro,Well-circumscribed Single,False,0,5,48.363332509994507
Radiologist #9,Presurgical glioma,,,False,1,8,11.488597393035889
Radiologist #9,Presurgical glioma,,,False,1,9,7.2833263874053955
Radiologist #9,Presurgical glioma,Very Large,Infiltrative Single,False,1,6,32.120967388153083
Radiologist #9,Presurgical glioma,Medium,Irregular/Complex Single,True,0,5,132.57522892951965
Radiologist #9,Meningioma,Medium,Well-circumscribed Single,True,1,10,31.895871162414551
Radiologist #9,Presurgical glioma,,,True,1,5,32.326453924179077
Radiologist #9,Presurgical glioma,Very Large,Infiltrative Single,True,1,9,77.999549388885498
Radiologist #9,Postoperative glioma resection,Very Large,Infiltrative Single,True,1,10,50.18187403678894
Radiologist #9,Presurgical glioma,Micro,Infiltrative Single,True,0,9,208.27445816993716
Radiologist #9,Metastases,Large,Multiple,True,1,9,18.987909555435181
Radiologist #9,Presurgical glioma,Very Large,Infiltrative Single,True,1,8,28.272040128707889
Radiologist #9,Paediatric presurgical tumour,Medium,Infiltrative Single,True,1,5,24.487535953521729
Radiologist #9,Presurgical glioma,Very Large,Infiltrative Single,True,1,9,27.203167676925659
Radiologist #9,Presurgical glioma,,,True,1,8,26.681801319122314
Radiologist #9,Postoperative glioma resection,,,True,1,9,17.830873727798462
Radiologist #9,Presurgical glioma,Large,Infiltrative Single,True,1,8,26.017667770385746
Radiologist #9,Postoperative glioma resection,,,True,0,5,27.94034481048584
Radiologist #9,Presurgical glioma,,,True,1,6,37.494569778442383
Radiologist #9,Presurgical glioma,,,True,1,9,31.819028377532959
Radiologist #9,Paediatric presurgical tumour,,,True,0,7,27.70063304901123
Radiologist #9,Presurgical glioma,,,True,1,7,22.854432344436649
Radiologist #9,Presurgical glioma,,,True,1,9,15.854665040969849
Radiologist #9,Paediatric presurgical tumour,,,True,1,7,33.753516435623169
Radiologist #9,Presurgical glioma,,,True,0,5,22.702242136001587
Radiologist #9,Presurgical glioma,Micro,Single Lesion (Unclassified),True,1,7,31.369258642196652
Radiologist #9,Postoperative glioma resection,,,True,0,9,18.682762861251831
Radiologist #9,Presurgical glioma,,,True,1,7,11.92279887199402
Radiologist #9,Presurgical glioma,,,True,1,8,14.986484050750732
Radiologist #9,Presurgical glioma,Micro,Irregular/Complex Single,True,0,7,28.841526985168457
Radiologist #9,Presurgical glioma,Medium,Infiltrative Single,True,1,8,11.984649658203123
Radiologist #9,Presurgical glioma,Large,Irregular/Complex Single,True,1,6,29.476870059967041
Radiologist #9,Presurgical glioma,Very Large,Infiltrative Single,True,1,9,13.783905029296877
Radiologist #9,Presurgical glioma,,,True,1,9,16.307041645050049
Radiologist #9,Presurgical glioma,,,True,0,7,13.696650505065918
Radiologist #9,Paediatric presurgical tumour,,,True,1,5,27.368872165679932
Radiologist #9,Paediatric presurgical tumour,,,True,0,5,23.715266227722168
Radiologist #9,Postoperative glioma resection,,,True,0,6,24.341843843460083
Radiologist #9,Paediatric presurgical tumour,,,True,1,8,22.174020528793331
Radiologist #9,Meningioma,Medium,Well-circumscribed Single,True,1,9,19.562960624694824
Radiologist #9,Presurgical glioma,Very Large,Irregular/Complex Single,True,1,9,12.972226142883301
Radiologist #9,Presurgical glioma,Very Large,Infiltrative Single,True,0,5,21.108572721481323
Radiologist #9,Presurgical glioma,,,True,1,9,14.350213766098022
Radiologist #9,Postoperative glioma resection,,,True,1,8,16.140416622161865
Radiologist #9,Presurgical glioma,Very Large,Infiltrative Single,True,1,5,53.942017555236816
Radiologist #9,Presurgical glioma,,,True,1,6,23.384101867675781
Radiologist #9,Presurgical glioma,,,True,1,5,35.146740913391113
Radiologist #9,Postoperative glioma resection,,,True,1,8,10.645208597183228
Radiologist #9,Postoperative glioma resection,,,True,1,8,20.688509941101078
Radiologist #9,Postoperative glioma resection,,,True,1,7,22.940067529678345
Radiologist #9,Presurgical glioma,,,True,1,8,87.19654369354248
Radiologist #9,Presurgical glioma,,,True,1,9,19.768471479415894
Radiologist #9,Presurgical glioma,Micro,Irregular/Complex Single,True,0,8,26.13477087020874
Radiologist #9,Postoperative glioma resection,,,True,0,5,46.694380521774292
Radiologist #9,Presurgical glioma,Very Large,Infiltrative Single,True,1,8,14.346617698669434
Radiologist #9,Postoperative glioma resection,,,True,1,8,13.799454927444458
Radiologist #9,Presurgical glioma,,,True,0,6,22.355945825576782
Radiologist #9,Presurgical glioma,,,True,1,7,12.632291793823242
Radiologist #9,Presurgical glioma,,,True,1,8,10.322504758834841
Radiologist #9,Presurgical glioma,,,True,1,8,18.403961181640625
Radiologist #9,Meningioma,Very Large,Irregular/Complex Single,True,1,9,16.612047910690308
Radiologist #9,Presurgical glioma,,,True,1,8,10.986234903335571
Radiologist #9,Presurgical glioma,Medium,Well-circumscribed Single,True,1,7,24.910003900527958
Radiologist #9,Presurgical glioma,Very Large,Infiltrative Single,True,1,8,19.417351007461548
Radiologist #9,Presurgical glioma,Very Large,Infiltrative Single,True,1,8,16.296009063720703
Radiologist #9,Presurgical glioma,Very Large,Infiltrative Single,True,1,9,7.1263210773468018
Radiologist #9,Presurgical glioma,,,True,1,8,14.236663103103638
Radiologist #9,Postoperative glioma resection,,,True,1,8,21.171850442886356
Radiologist #9,Metastases,Medium,Infiltrative Single,True,1,7,11.684155464172363
Radiologist #9,Postoperative glioma resection,,,True,1,8,13.890701055526732
Radiologist #9,Postoperative glioma resection,,,True,1,7,16.308752775192261
Radiologist #9,Paediatric presurgical tumour,Very Large,Infiltrative Single,True,1,9,17.682446956634521
Radiologist #9,Postoperative glioma resection,Micro,Irregular/Complex Single,True,1,6,30.370193481445312
Radiologist #9,Meningioma,Very Large,Irregular/Complex Single,True,1,8,30.287597894668579
Radiologist #9,Presurgical glioma,,,True,1,5,75.372252941131592
Radiologist #9,Presurgical glioma,,,True,1,8,10.2506422996521
Radiologist #9,Presurgical glioma,Micro,Multiple,True,1,8,15.378193140029907
Radiologist #9,Presurgical glioma,Very Large,Infiltrative Single,True,1,8,17.388631105422974
Radiologist #9,Presurgical glioma,,,True,1,8,25.296501636505127
Radiologist #9,Postoperative glioma resection,,,True,0,6,317.01324415206909
Radiologist #9,Presurgical glioma,Medium,Irregular/Complex Single,True,1,5,33.586843013763428
Radiologist #9,Postoperative glioma resection,,,True,1,8,10.816298484802246
Radiologist #9,Postoperative glioma resection,,,True,1,8,13.955678701400757
Radiologist #9,Postoperative glioma resection,,,True,1,8,11.08513617515564
Radiologist #9,Presurgical glioma,Very Large,Infiltrative Single,True,1,9,10.565162658691406
Radiologist #9,Postoperative glioma resection,,,True,1,6,17.0844886302948
Radiologist #9,Presurgical glioma,Very Large,Infiltrative Single,True,1,7,14.072681903839111
Radiologist #9,Presurgical glioma,,,True,1,8,11.870487213134766
Radiologist #9,Presurgical glioma,Very Large,Infiltrative Single,True,1,9,28.18201470375061
Radiologist #9,Presurgical glioma,Very Large,Infiltrative Single,True,1,9,8.8586077690124512
Radiologist #9,Paediatric presurgical tumour,,,True,0,8,13.203648090362549
Radiologist #9,Presurgical glioma,,,True,1,9,10.4497971534729
Radiologist #9,Postoperative glioma resection,,,True,1,8,10.277043581008911
Radiologist #9,Presurgical glioma,Medium,Multiple,True,0,5,17.628050565719604
Radiologist #9,Presurgical glioma,,,True,1,8,20.397845268249512
